Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
TAE;202312092220;7.70;0.00;0.00;1.00;81.30;4.70;223.00;16.20;30.60;944.70;1008.10;1007.50;-;-;-;-;-;-;-;-
COM;202312092220;0.40;0.30;0.00;1.00;100.00;0.40;0.00;0.00;0.00;945.00;1014.80;1012.30;-;-;-;-;-;-;-;-
ABO;202312092220;4.50;0.20;0.00;4.00;74.20;0.30;195.00;18.00;34.60;861.50;-;1010.60;1435.30;-;-;-;-;-;-;-
AIG;202312092220;5.00;0.90;0.00;0.00;92.00;3.80;327.00;10.10;20.50;967.80;1014.00;1012.90;-;-;-;-;-;-;-;-
ALT;202312092220;8.60;0.70;0.00;0.00;71.10;3.70;350.00;42.10;76.30;958.40;1010.40;1010.00;-;-;-;-;-;-;-;-
ARH;202312092220;9.40;0.10;0.00;1.00;83.70;6.80;247.00;27.70;47.90;960.80;1007.80;1007.60;-;-;-;-;-;-;-;-
AND;202312092220;4.60;0.00;0.00;0.00;70.20;-0.40;161.00;20.50;31.30;895.80;-;1008.60;1414.00;-;-;-;-;-;-;-
ANT;202312092220;0.60;0.10;0.00;0.00;86.90;-1.30;196.00;17.60;31.00;848.70;-;1009.20;1423.40;-;-;-;-;-;-;-
ARO;202312092220;-1.80;0.00;0.00;1.00;99.20;-1.90;228.00;4.00;9.00;801.30;-;1006.40;1406.20;-;-;-;-;-;-;-
RAG;202312092220;5.80;0.60;0.00;0.00;84.50;3.40;204.00;6.50;12.60;952.70;1012.00;1010.90;-;-;-;-;-;-;-;-
BAN;202312092220;-;-;0.00;1.00;-;-;-;-;-;-;-;-;-;-;262.00;45.40;72.00;2.90;99.10;2.80
BAS;202312092220;10.40;0.00;0.00;0.00;74.20;6.00;254.00;19.10;39.20;970.80;1008.40;1008.20;-;-;-;-;-;-;-;-
LAT;202312092220;-0.20;0.00;0.00;1.00;99.30;-0.30;277.00;2.90;5.80;-;-;-;-;-;-;-;-;-;-;-
BER;202312092220;6.50;0.70;0.00;0.00;91.90;5.30;232.00;14.00;24.50;946.70;1012.40;1011.50;-;-;-;-;-;-;-;-
BEZ;202312092220;9.60;0.00;0.00;3.00;79.70;6.30;220.00;8.30;16.90;969.40;1008.20;1007.90;-;-;-;-;-;-;-;-
BIA;202312092220;2.90;0.00;0.00;3.00;91.50;1.70;351.00;11.90;20.50;979.90;1014.10;1012.90;-;-;-;-;-;-;-;-
BIN;202312092220;-0.60;0.20;-;-;99.20;-0.70;54.00;6.10;10.10;-;-;-;-;-;-;-;-;-;-;-
BIZ;202312092220;7.80;0.20;0.00;1.00;85.00;5.40;-;-;-;947.70;1007.50;1007.00;-;-;-;-;-;-;-;-
BIV;202312092220;0.20;0.10;-;-;76.70;-3.40;89.00;6.10;10.10;-;-;-;-;-;-;-;-;-;-;-
BIE;202312092220;5.50;1.10;0.00;9.00;85.90;3.30;293.00;24.80;44.60;934.00;-;1013.60;1448.40;-;-;-;-;-;-;-
BLA;202312092220;0.70;0.70;0.00;2.00;98.40;0.50;8.00;4.70;14.00;839.10;-;1010.40;1435.00;-;-;-;-;-;-;-
BOL;202312092220;8.30;0.90;0.00;0.00;71.30;3.40;201.00;31.30;73.40;916.10;-;1010.70;1435.50;-;-;-;-;-;-;-
BOU;202312092220;9.00;-;-;-;86.80;6.90;236.00;26.30;61.90;968.90;1013.50;1013.10;-;-;-;-;-;-;-;-
BRZ;202312092220;-;0.60;-;-;-;-;55.00;8.60;13.30;944.20;-;1010.50;-;-;-;-;-;-;-;-
BUS;202312092220;8.10;0.00;0.00;0.00;81.10;5.10;207.00;16.90;26.60;963.20;1009.30;1008.80;-;-;-;-;-;-;-;-
BUF;202312092220;-2.30;0.00;0.00;0.00;92.90;-3.30;304.00;11.20;25.90;793.30;-;1007.60;1417.00;-;-;-;-;-;-;-
FRE;202312092220;1.30;1.00;0.00;0.00;90.90;0.00;319.00;18.00;40.70;874.00;-;1010.50;1430.30;-;-;-;-;-;-;-
CEV;202312092220;1.20;0.10;0.00;3.00;97.70;0.90;360.00;10.40;19.10;963.30;1014.90;1013.00;-;-;-;-;-;-;-;-
CHZ;202312092220;7.60;0.00;0.00;0.00;90.20;6.10;214.00;18.70;28.40;957.80;1010.40;1009.80;-;-;-;-;-;-;-;-
CHA;202312092220;-0.70;0.40;0.00;0.00;100.00;-0.70;300.00;98.30;119.50;829.40;-;1005.90;1399.00;-;-;-;-;-;-;-
CHM;202312092220;1.50;0.40;0.00;0.00;96.60;1.00;224.00;20.20;49.00;879.90;-;1008.80;1414.60;-;-;-;-;-;-;-
CHU;202312092220;4.90;0.00;0.00;0.00;96.40;4.40;202.00;15.80;39.60;943.80;1010.10;1008.80;-;-;-;-;-;-;-;-
CHD;202312092220;7.40;0.00;0.00;0.00;69.30;2.20;234.00;27.70;67.00;894.20;-;1011.70;1444.50;-;-;-;-;-;-;-
CIM;202312092220;-2.10;0.10;0.00;0.00;99.00;-2.20;46.00;17.30;22.70;824.70;-;1008.30;1421.10;-;-;-;-;-;-;-
CDM;202312092220;4.10;0.50;-;-;71.00;-0.70;179.00;30.20;98.30;-;-;-;-;-;-;-;-;-;-;-
GSB;202312092220;-2.20;0.20;0.00;0.00;86.90;-4.10;107.00;20.20;51.50;745.30;-;1009.80;-;2983.40;-;-;-;-;-;-
COY;202312092220;5.90;0.40;-;-;88.10;4.10;228.00;42.50;63.00;-;-;-;-;-;-;-;-;-;-;-
CMA;202312092220;-4.50;-;0.00;0.00;98.80;-4.70;277.00;27.00;70.60;742.80;-;1006.20;-;2949.50;-;-;-;-;-;-
CRM;202312092220;8.20;0.50;-;0.00;75.60;4.20;259.00;25.90;62.30;960.70;1011.90;1011.40;-;-;-;-;-;-;-;-
DAV;202312092220;0.20;0.00;0.00;0.00;94.10;-0.60;172.00;7.20;11.50;830.50;-;1007.20;1409.00;-;-;-;-;-;-;-
DEM;202312092220;9.10;0.00;0.00;1.00;83.40;6.40;258.00;17.30;30.60;957.60;1009.50;1009.20;-;-;-;-;-;-;-;-
DIS;202312092220;1.90;0.10;0.00;3.00;90.30;0.50;7.00;8.60;24.50;873.00;-;1008.40;1413.50;-;-;-;-;-;-;-
EBK;202312092220;6.80;0.90;0.00;0.00;86.10;4.60;217.00;7.60;19.10;937.40;-;1010.00;1421.00;-;-;-;-;-;-;-
EGH;202312092220;-5.00;-;0.00;0.00;97.20;-5.40;303.00;27.70;46.40;706.20;-;1007.30;-;2962.50;-;-;-;-;-;-
EGO;202312092220;7.50;0.30;-;2.00;89.90;6.00;250.00;32.00;44.30;948.50;1010.20;1009.60;-;-;-;-;-;-;-;-
EIN;202312092220;4.30;0.30;0.00;0.00;89.30;2.70;236.00;29.20;53.60;904.80;-;1009.30;1417.40;-;-;-;-;-;-;-
ELM;202312092220;3.20;1.70;0.00;0.00;93.50;2.30;117.00;4.30;10.10;899.20;-;1008.80;1412.40;-;-;-;-;-;-;-
ENG;202312092220;3.90;1.20;0.00;0.00;94.90;3.20;262.00;14.80;36.70;891.30;-;1009.50;1421.10;-;-;-;-;-;-;-
EVI;202312092220;2.30;0.40;0.00;3.00;99.20;2.20;171.00;8.60;17.60;956.10;1014.60;1012.80;-;-;-;-;-;-;-;-
EVO;202312092220;1.60;0.30;0.00;3.00;85.70;-0.50;351.00;11.90;32.00;809.70;-;1010.50;1435.20;-;-;-;-;-;-;-
FAH;202312092220;7.40;3.80;0.00;4.00;88.90;5.70;258.00;26.60;46.10;939.80;1010.00;1009.40;-;-;-;-;-;-;-;-
FLU;202312092220;3.50;1.20;-;-;90.20;2.00;168.00;14.00;24.80;-;-;-;-;-;-;-;-;-;-;-
GRA;202312092220;5.80;1.00;0.00;6.00;99.20;5.70;277.00;27.70;44.60;936.50;-;1012.30;1437.70;-;-;-;-;-;-;-
FRU;202312092220;6.00;0.20;0.00;0.00;97.70;5.70;20.00;5.40;12.60;-;-;-;-;-;-;-;-;-;-;-
GVE;202312092220;10.80;0.50;0.00;0.00;75.90;6.70;239.00;25.20;43.90;965.20;1013.90;1013.80;-;-;-;-;-;-;-;-
GES;202312092220;7.60;0.30;-;-;79.30;4.30;69.00;13.70;33.10;949.50;1011.10;1010.50;-;-;-;-;-;-;-;-
GIH;202312092220;8.60;1.10;0.00;0.00;78.90;5.20;265.00;16.20;33.80;955.80;1011.60;1011.20;-;-;-;-;-;-;-;-
GLA;202312092220;5.60;0.90;0.00;1.00;89.70;4.00;317.00;29.20;41.80;949.40;1011.00;1009.90;-;-;-;-;-;-;-;-
GOR;202312092220;-6.10;-;0.00;0.00;74.80;-9.80;280.00;33.80;59.40;686.20;-;1008.80;-;2975.10;-;-;-;-;-;-
GRE;202312092220;8.20;0.20;0.00;0.00;80.80;5.10;252.00;37.80;59.80;959.30;1010.20;1009.70;-;-;-;-;-;-;-;-
GRH;202312092220;-0.40;1.20;0.00;0.00;99.60;-0.50;335.00;40.30;63.00;795.30;-;1009.10;1425.50;-;-;-;-;-;-;-
GRO;202312092220;2.50;0.00;0.00;0.00;97.00;2.10;62.00;1.10;4.00;974.50;1014.20;1012.90;-;-;-;-;-;-;-;-
GRC;202312092220;-1.10;0.00;0.00;0.00;100.00;-1.10;-;-;-;830.50;-;1008.40;1420.10;-;-;-;-;-;-;-
GOS;202312092220;3.70;0.30;-;-;84.70;1.40;195.00;16.20;29.20;900.30;-;1009.10;1415.80;-;-;-;-;-;-;-
